system:index,Absolute_class_difference,Area_km2,Area_pct_valid,Class_difference,LINEAR_class,Pair_code,VDK_class,.geo
0,0.0,5189.367804427229,29.407198723181477,0.0,1.0,11.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.0,2600.1197669043518,14.734403413108623,1.0,2.0,12.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.0,2059.234271568029,11.669304185747672,2.0,3.0,13.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.0,1343.393483409415,7.6127652960625,3.0,4.0,14.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.0,436.49432783164656,2.4735335639797693,4.0,5.0,15.0,1.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.0,24.85018121912271,0.14082143431698269,-1.0,1.0,21.0,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0,464.86354422130375,2.634296727323067,0.0,2.0,22.0,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0,692.4351782654294,3.9239035770023953,1.0,3.0,23.0,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.0,452.57830170213504,2.564678503728382,2.0,4.0,24.0,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.0,122.26804348789113,0.6928706516573198,3.0,5.0,25.0,2.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.0,0,0.0,-2.0,1.0,31.0,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.0,64.72748100187701,0.3667988025534148,-1.0,2.0,32.0,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0,675.0140177508174,3.825181044981333,0.0,3.0,33.0,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.0,736.807513169083,4.175353487569551,1.0,4.0,34.0,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.0,198.00192519956406,1.122040715045976,2.0,5.0,35.0,3.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.0,0,0.0,-3.0,1.0,41.0,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.0,0,0.0,-2.0,2.0,42.0,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.0,101.21133088684759,0.573546110547027,-1.0,3.0,43.0,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.0,985.189810804061,5.582890563596561,0.0,4.0,44.0,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.0,504.88317697155634,2.861080670467624,1.0,5.0,45.0,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.0,0,0.0,-4.0,1.0,51.0,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.0,0,0.0,-3.0,2.0,52.0,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.0,0,0.0,-2.0,3.0,53.0,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1.0,93.62412031234506,0.5305507751752173,-1.0,4.0,54.0,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0,901.525772765427,5.108781753947929,0.0,5.0,55.0,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
